,Tamb,Qirr,PelecA,PelecB
2022-11-11 19:45:00,27.975,0.0,4734.321415111002,1399.6145417616801
2022-11-11 20:00:00,28.0,0.0,3160.9902022762762,1691.3182446963633
2022-11-11 20:15:00,27.75,0.0,2910.3166819109656,663.0870176948198
2022-11-11 20:30:00,27.5,0.0,3164.8149373549527,529.0171507072106
2022-11-11 20:45:00,27.25,0.0,3360.53695763045,144.52376237074026
2022-11-11 21:00:00,27.0,0.0,3911.4656769622143,142.22720177977766
2022-11-11 21:15:00,26.8,0.0,1682.3106708449554,180.13210972211792
2022-11-11 21:30:00,26.6,0.0,398.9925821676997,144.57328578303412
2022-11-11 21:45:00,26.4,0.0,262.9605896608582,244.59713607424226
2022-11-11 22:00:00,26.2,0.0,238.65599684009794,209.29957882581255
2022-11-11 22:15:00,25.65,0.0,275.44638907783326,255.20204338607806
2022-11-11 22:30:00,25.1,0.0,242.19351604388459,212.026197998759
2022-11-11 22:45:00,24.55,0.0,236.11377946436568,210.02241819901968
2022-11-11 23:00:00,24.0,0.0,159.16258808848443,210.66935612214465
2022-11-11 23:15:00,24.0,0.0,79.41467220177364,239.03956595520702
2022-11-11 23:30:00,24.0,0.0,65.09312500405589,190.8333969302127
2022-11-11 23:45:00,24.0,0.0,54.331022345018155,41.89508463726999
2022-11-12 00:00:00,24.0,0.0,52.71036718598135,33.69345161786485
2022-11-12 00:15:00,23.9,0.0,74.13666941503983,54.24496056052422
2022-11-12 00:30:00,23.8,0.0,64.86640567605833,54.845327642862266
2022-11-12 00:45:00,23.700000000000003,0.0,53.93452238123056,33.58979800022988
2022-11-12 01:00:00,23.6,0.0,53.71894853918871,33.34812762699609
2022-11-12 01:15:00,23.55,0.0,84.53876652674327,59.18224424355875
2022-11-12 01:30:00,23.5,0.0,59.01945382357308,44.73108546631884
2022-11-12 01:45:00,23.45,0.0,53.6903765264814,33.32342806338807
2022-11-12 02:00:00,23.4,0.0,53.15150716270242,33.20139508381621
2022-11-12 02:15:00,23.349999999999998,0.0,86.15345206799941,39.01185499157277
2022-11-12 02:30:00,23.299999999999997,0.0,52.54765885846047,70.48218368803826
2022-11-12 02:45:00,23.25,0.0,53.72538489688529,33.14935902175187
2022-11-12 03:00:00,23.2,0.0,64.69099231266797,33.60404441166233
2022-11-12 03:15:00,23.15,0.0,75.12828390842351,33.726998142735454
2022-11-12 03:30:00,23.1,0.0,53.758363393872614,70.80821606179744
2022-11-12 03:45:00,23.05,0.0,53.33294707958254,33.71206399221678
2022-11-12 04:00:00,23.0,0.0,69.80450874142385,33.98234714140786
2022-11-12 04:15:00,23.025,0.0,74.84276872060086,33.60357214798037
2022-11-12 04:30:00,23.05,0.0,53.05313299024038,43.666186072555455
2022-11-12 04:45:00,23.075000000000003,0.0,53.67875966600229,65.04710905961517
2022-11-12 05:00:00,23.1,0.0,63.506794601854075,33.49120764092649
2022-11-12 05:15:00,23.1,0.25,84.58445685905623,36.91445893381543
2022-11-12 05:30:00,23.1,0.5,219.9747953899405,36.985510863610806
